               Sayac              X              Y               Deger
                 284             26              8                   1
                 565             51             10                   1
                 690             48             11                   1
                 741             99             11                   1
                 759            117             11                   1
                 794             24             12                   1
                 881            111             12                   1
                 917             19             13                   1
                 977             79             13                   1
                1029              3             14                   1
                1105             79             14                   1
                1136            110             14                   1
                1146            120             14                   1
                1157              3             15                   1
                1194             40             15                   1
                1239             85             15                   1
                1251             97             15                   1
                1288              6             16                   1
                1302             20             16                   1
                1305             23             16                   1
                1331             49             16                   1
                1367             85             16                   1
                1390            108             16                   1
                1400            118             16                   1
                1403            121             16                   1
                1427             17             17                   1
                1430             20             17                   1
                1457             47             17                   1
                1464             54             17                   1
                1480             70             17                   1
                1495             85             17                   1
                1504             94             17                   1
                1516            106             17                   1
                1523            113             17                   1
                1653            115             18                   1
                1668              2             19                   1
                1677             11             19                   1
                1698             32             19                   1
                1707             41             19                   1
                1712             46             19                   1
                1714             48             19                   1
                1726             60             19                   1
                1744             78             19                   1
                1757             91             19                   1
                1772            106             19                   1
                1815             21             20                   1
                1856             62             20                   1
                1860             66             20                   1
                1868             74             20                   1
                1871             77             20                   1
                1873             79             20                   1
                1943             21             21                   1
                1960             38             21                   1
                1978             56             21                   1
                1985             63             21                   1
                2022            100             21                   1
                2041            119             21                   1
                2057              7             22                   1
                2092             42             22                   1
                2115             65             22                   1
                2130             80             22                   1
                2150            100             22                   1
                2152            102             22                   1
                2171            121             22                   1
                2190             12             23                   1
                2224             46             23                   1
                2269             91             23                   1
                2272             94             23                   1
                2310              4             24                   1
                2320             14             24                   1
                2327             21             24                   1
                2330             24             24                   1
                2339             33             24                   1
                2352             46             24                   1
                2358             52             24                   1
                2367             61             24                   1
                2390             84             24                   1
                2397             91             24                   1
                2418            112             24                   1
                2440              6             25                   1
                2451             17             25                   1
                2455             21             25                   1
                2472             38             25                   1
                2511             77             25                   1
                2515             81             25                   1
                2532             98             25                   1
                2538            104             25                   1
                2572             10             26                   1
                2596             34             26                   1
                2605             43             26                   1
                2606             44             26                   1
                2608             46             26                   1
                2632             70             26                   1
                2636             74             26                   1
                2648             86             26                   1
                2660             98             26                   1
                2666            104             26                   1
                2689            127             26                   1
                2727             37             27                   1
                2734             44             27                   1
                2739             49             27                   1
                2759             69             27                   1
                2767             77             27                   1
                2794            104             27                   1
                2819              1             28                   1
                2835             17             28                   1
                2846             28             28                   1
                2868             50             28                   1
                2877             59             28                   1
                2893             75             28                   1
                2914             96             28                   1
                2920            102             28                   1
                2922            104             28                   1
                2925            107             28                   1
                2929            111             28                   1
                2933            115             28                   1
                2977             31             29                   1
                2979             33             29                   1
                3004             58             29                   1
                3045             99             29                   1
                3047            101             29                   1
                3058            112             29                   1
                3070            124             29                   1
                3076              2             30                   1
                3085             11             30                   1
                3095             21             30                   1
                3110             36             30                   1
                3121             47             30                   1
                3150             76             30                   1
                3152             78             30                   1
                3157             83             30                   1
                3165             91             30                   1
                3172             98             30                   1
                3204              2             31                   1
                3224             22             31                   1
                3266             64             31                   1
                3278             76             31                   1
                3289             87             31                   1
                3291             89             31                   1
                3296             94             31                   1
                3298             96             31                   1
                3311            109             31                   1
                3317            115             31                   1
                3319            117             31                   1
                3321            119             31                   1
                3330              0             32                   1
