               Sayac              X              Y               Deger
                 275             17              5                   1
                 374            116              5                   1
                 384            126              5                   1
                 406             20              6                   1
                 409             23              6                   1
                 419             33              6                   1
                 451             65              6                   1
                 520              6              7                   1
                 534             20              7                   1
                 668             26              8                   1
                 680             38              8                   1
                 710             68              8                   1
                 755            113              8                   1
                 779              9              9                   1
                 791             21              9                   1
                 900              2             10                   1
                 949             51             10                   1
                 968             70             10                   1
                 980             82             10                   1
                1074             48             11                   1
                1125             99             11                   1
                1143            117             11                   1
                1178             24             12                   1
                1265            111             12                   1
                1301             19             13                   1
                1310             28             13                   1
                1321             39             13                   1
                1361             79             13                   1
                1413              3             14                   1
                1489             79             14                   1
                1520            110             14                   1
                1530            120             14                   1
                1541              3             15                   1
                1565             27             15                   1
                1578             40             15                   1
                1587             49             15                   1
                1623             85             15                   1
                1635             97             15                   1
                1672              6             16                   1
                1686             20             16                   1
                1689             23             16                   1
                1715             49             16                   1
                1742             76             16                   1
                1751             85             16                   1
                1774            108             16                   1
                1784            118             16                   1
                1787            121             16                   1
                1811             17             17                   1
                1814             20             17                   1
                1841             47             17                   1
                1848             54             17                   1
                1864             70             17                   1
                1879             85             17                   1
                1888             94             17                   1
                1900            106             17                   1
                1907            113             17                   1
                2037            115             18                   1
                2052              2             19                   1
                2061             11             19                   1
                2082             32             19                   1
                2091             41             19                   1
                2096             46             19                   1
                2098             48             19                   1
                2110             60             19                   1
                2128             78             19                   1
                2141             91             19                   1
                2156            106             19                   1
                2199             21             20                   1
                2204             26             20                   1
                2240             62             20                   1
                2244             66             20                   1
                2252             74             20                   1
                2255             77             20                   1
                2257             79             20                   1
                2285            107             20                   1
                2327             21             21                   1
                2344             38             21                   1
                2362             56             21                   1
                2369             63             21                   1
                2406            100             21                   1
                2412            106             21                   1
                2418            112             21                   1
                2427            121             21                   1
                2441              7             22                   1
                2476             42             22                   1
                2489             55             22                   1
                2499             65             22                   1
                2514             80             22                   1
                2534            100             22                   1
                2536            102             22                   1
                2555            121             22                   1
                2608             46             23                   1
                2614             52             23                   1
                2653             91             23                   1
                2655             93             23                   1
                2656             94             23                   1
                2694              4             24                   1
                2700             10             24                   1
                2704             14             24                   1
                2711             21             24                   1
                2714             24             24                   1
                2723             33             24                   1
                2736             46             24                   1
                2742             52             24                   1
                2751             61             24                   1
                2774             84             24                   1
                2781             91             24                   1
                2802            112             24                   1
                2824              6             25                   1
                2835             17             25                   1
                2839             21             25                   1
                2856             38             25                   1
                2895             77             25                   1
                2899             81             25                   1
                2916             98             25                   1
                2922            104             25                   1
                2956             10             26                   1
                2980             34             26                   1
                2989             43             26                   1
                2990             44             26                   1
                2992             46             26                   1
                3016             70             26                   1
                3020             74             26                   1
                3032             86             26                   1
                3044             98             26                   1
                3050            104             26                   1
                3073            127             26                   1
                3102             28             27                   1
                3111             37             27                   1
                3118             44             27                   1
                3123             49             27                   1
                3143             69             27                   1
                3151             77             27                   1
                3178            104             27                   1
                3203              1             28                   1
                3219             17             28                   1
                3230             28             28                   1
                3252             50             28                   1
                3261             59             28                   1
                3276             74             28                   1
                3277             75             28                   1
                3278             76             28                   1
                3280             78             28                   1
                3298             96             28                   1
                3304            102             28                   1
                3306            104             28                   1
                3309            107             28                   1
                3313            111             28                   1
                3317            115             28                   1
                3361             31             29                   1
                3363             33             29                   1
                3383             53             29                   1
                3388             58             29                   1
                3399             69             29                   1
                3429             99             29                   1
                3431            101             29                   1
                3442            112             29                   1
                3449            119             29                   1
                3454            124             29                   1
                3460              2             30                   1
                3462              4             30                   1
                3469             11             30                   1
                3479             21             30                   1
                3494             36             30                   1
                3505             47             30                   1
                3534             76             30                   1
                3536             78             30                   1
                3541             83             30                   1
                3549             91             30                   1
                3556             98             30                   1
                3588              2             31                   1
                3591              5             31                   1
                3608             22             31                   1
                3650             64             31                   1
                3662             76             31                   1
                3673             87             31                   1
                3675             89             31                   1
                3680             94             31                   1
                3682             96             31                   1
                3695            109             31                   1
                3701            115             31                   1
                3703            117             31                   1
                3705            119             31                   1
                3714              0             32                   1
                3721              7             32                   1
                3722              8             32                   1
                3736             22             32                   1
                3748             34             32                   1
                3761             47             32                   1
                3798             84             32                   1
                3810             96             32                   1
                3811             97             32                   1
                3823            109             32                   1
                3826            112             32                   1
                3832            118             32                   1
                3839            125             32                   1
                3840            126             32                   1
                3870             28             33                   1
                3875             33             33                   1
                3897             55             33                   1
                3915             73             33                   1
                3916             74             33                   1
                3919             77             33                   1
                3924             82             33                   1
                3957            115             33                   1
                3965            123             33                   1
                4018             48             34                   1
                4030             60             34                   1
                4055             85             34                   1
                4062             92             34                   1
                4074            104             34                   1
                4090            120             34                   1
                4107              9             35                   1
                4112             14             35                   1
                4140             42             35                   1
                4152             54             35                   1
                4165             67             35                   1
                4200            102             35                   1
                4203            105             35                   1
                4209            111             35                   1
                4219            121             35                   1
                4229              3             36                   1
                4235              9             36                   1
                4265             39             36                   1
                4271             45             36                   1
                4275             49             36                   1
                4277             51             36                   1
                4299             73             36                   1
                4306             80             36                   1
                4314             88             36                   1
                4317             91             36                   1
                4340            114             36                   1
                4342            116             36                   1
                4345            119             36                   1
                4352            126             36                   1
                4355              1             37                   1
                4379             25             37                   1
                4391             37             37                   1
                4395             41             37                   1
                4419             65             37                   1
                4420             66             37                   1
                4444             90             37                   1
                4469            115             37                   1
                4471            117             37                   1
                4472            118             37                   1
                4473            119             37                   1
                4478            124             37                   1
                4481            127             37                   1
                4482              0             38                   1
                4486              4             38                   1
                4490              8             38                   1
                4496             14             38                   1
                4497             15             38                   1
                4509             27             38                   1
                4519             37             38                   1
                4521             39             38                   1
                4526             44             38                   1
                4530             48             38                   1
                4547             65             38                   1
                4548             66             38                   1
                4552             70             38                   1
                4566             84             38                   1
                4585            103             38                   1
                4588            106             38                   1
                4592            110             38                   1
                4603            121             38                   1
                4627             17             39                   1
                4639             29             39                   1
                4643             33             39                   1
                4655             45             39                   1
                4666             56             39                   1
                4684             74             39                   1
                4707             97             39                   1
                4709             99             39                   1
                4720            110             39                   1
                4735            125             39                   1
                4759             21             40                   1
                4774             36             40                   1
                4780             42             40                   1
                4787             49             40                   1
                4792             54             40                   1
                4796             58             40                   1
                4802             64             40                   1
                4809             71             40                   1
                4813             75             40                   1
                4817             79             40                   1
                4818             80             40                   1
                4824             86             40                   1
                4848            110             40                   1
                4852            114             40                   1
                4854            116             40                   1
                4859            121             40                   1
                4877             11             41                   1
