               Sayac              X              Y               Deger
                 291             33              3                   1
                 531             17              5                   1
                 549             35              5                   1
                 586             72              5                   1
                 630            116              5                   1
                 640            126              5                   1
                 662             20              6                   1
                 665             23              6                   1
                 675             33              6                   1
                 707             65              6                   1
                 744            102              6                   1
                 776              6              7                   1
                 790             20              7                   1
                 803             33              7                   1
                 811             41              7                   1
                 924             26              8                   1
                 936             38              8                   1
                 966             68              8                   1
                1011            113              8                   1
                1035              9              9                   1
                1043             17              9                   1
                1046             20              9                   1
                1047             21              9                   1
                1095             69              9                   1
                1125             99              9                   1
                1156              2             10                   1
                1205             51             10                   1
                1224             70             10                   1
                1231             77             10                   1
                1236             82             10                   1
                1279            125             10                   1
                1307             25             11                   1
                1330             48             11                   1
                1381             99             11                   1
                1399            117             11                   1
                1434             24             12                   1
                1521            111             12                   1
                1557             19             13                   1
                1566             28             13                   1
                1577             39             13                   1
                1594             56             13                   1
                1617             79             13                   1
                1669              3             14                   1
                1705             39             14                   1
                1745             79             14                   1
                1776            110             14                   1
                1778            112             14                   1
                1786            120             14                   1
                1797              3             15                   1
                1821             27             15                   1
                1834             40             15                   1
                1843             49             15                   1
                1879             85             15                   1
                1891             97             15                   1
                1915            121             15                   1
                1928              6             16                   1
                1942             20             16                   1
                1945             23             16                   1
                1971             49             16                   1
                1973             51             16                   1
                1998             76             16                   1
                2007             85             16                   1
                2030            108             16                   1
                2040            118             16                   1
                2043            121             16                   1
                2067             17             17                   1
                2070             20             17                   1
                2097             47             17                   1
                2104             54             17                   1
                2120             70             17                   1
                2135             85             17                   1
                2142             92             17                   1
                2144             94             17                   1
                2156            106             17                   1
                2163            113             17                   1
                2242             64             18                   1
                2293            115             18                   1
                2308              2             19                   1
                2312              6             19                   1
                2317             11             19                   1
                2338             32             19                   1
                2347             41             19                   1
                2352             46             19                   1
                2354             48             19                   1
                2366             60             19                   1
                2384             78             19                   1
                2397             91             19                   1
                2403             97             19                   1
                2412            106             19                   1
                2455             21             20                   1
                2460             26             20                   1
                2496             62             20                   1
                2500             66             20                   1
                2508             74             20                   1
                2511             77             20                   1
                2512             78             20                   1
                2513             79             20                   1
                2541            107             20                   1
                2583             21             21                   1
                2588             26             21                   1
                2600             38             21                   1
                2618             56             21                   1
                2625             63             21                   1
                2662            100             21                   1
                2668            106             21                   1
                2674            112             21                   1
                2683            121             21                   1
                2697              7             22                   1
                2732             42             22                   1
                2745             55             22                   1
                2755             65             22                   1
                2760             70             22                   1
                2770             80             22                   1
                2790            100             22                   1
                2792            102             22                   1
                2811            121             22                   1
                2864             46             23                   1
                2870             52             23                   1
                2909             91             23                   1
                2911             93             23                   1
                2912             94             23                   1
                2950              4             24                   1
                2956             10             24                   1
                2960             14             24                   1
                2967             21             24                   1
                2970             24             24                   1
                2979             33             24                   1
                2992             46             24                   1
                2998             52             24                   1
                3007             61             24                   1
                3030             84             24                   1
                3037             91             24                   1
                3058            112             24                   1
                3080              6             25                   1
                3091             17             25                   1
                3092             18             25                   1
