               Sayac              X              Y               Deger
                4835             97             45                   1
                4837             99             45                   1
                4850            112             45                   1
                4861            123             45                   1
                4875              9             46                   1
                4894             28             46                   1
                4897             31             46                   1
                4898             32             46                   1
                4905             39             46                   1
                4921             55             46                   1
                4922             56             46                   1
                4932             66             46                   1
                4941             75             46                   1
                4946             80             46                   1
                4950             84             46                   1
                4953             87             46                   1
                4959             93             46                   1
                4966            100             46                   1
                4971            105             46                   1
                4974            108             46                   1
                4990            124             46                   1
                4996              2             47                   1
