               Sayac              X              Y               Deger
                 163             33              3                   1
                 403             17              5                   1
                 421             35              5                   1
                 502            116              5                   1
                 512            126              5                   1
                 534             20              6                   1
                 537             23              6                   1
                 547             33              6                   1
                 579             65              6                   1
                 616            102              6                   1
                 648              6              7                   1
                 662             20              7                   1
                 675             33              7                   1
                 683             41              7                   1
                 796             26              8                   1
                 808             38              8                   1
                 838             68              8                   1
                 883            113              8                   1
                 907              9              9                   1
                 918             20              9                   1
                 919             21              9                   1
                 967             69              9                   1
                1028              2             10                   1
                1077             51             10                   1
                1096             70             10                   1
                1103             77             10                   1
                1108             82             10                   1
                1151            125             10                   1
                1179             25             11                   1
                1202             48             11                   1
                1253             99             11                   1
                1271            117             11                   1
                1306             24             12                   1
                1393            111             12                   1
                1429             19             13                   1
                1438             28             13                   1
                1449             39             13                   1
                1466             56             13                   1
                1489             79             13                   1
                1541              3             14                   1
                1617             79             14                   1
                1648            110             14                   1
                1658            120             14                   1
                1669              3             15                   1
                1693             27             15                   1
                1706             40             15                   1
                1715             49             15                   1
                1751             85             15                   1
                1763             97             15                   1
                1787            121             15                   1
                1800              6             16                   1
                1814             20             16                   1
                1817             23             16                   1
                1843             49             16                   1
                1845             51             16                   1
                1870             76             16                   1
                1879             85             16                   1
                1902            108             16                   1
                1912            118             16                   1
                1915            121             16                   1
                1939             17             17                   1
                1942             20             17                   1
                1969             47             17                   1
                1976             54             17                   1
                1992             70             17                   1
                2007             85             17                   1
                2014             92             17                   1
                2016             94             17                   1
                2028            106             17                   1
                2035            113             17                   1
                2114             64             18                   1
                2165            115             18                   1
                2180              2             19                   1
                2184              6             19                   1
                2189             11             19                   1
                2210             32             19                   1
                2219             41             19                   1
                2224             46             19                   1
                2226             48             19                   1
                2238             60             19                   1
                2256             78             19                   1
                2269             91             19                   1
                2275             97             19                   1
                2284            106             19                   1
                2327             21             20                   1
                2332             26             20                   1
                2368             62             20                   1
                2372             66             20                   1
                2380             74             20                   1
                2383             77             20                   1
                2385             79             20                   1
                2413            107             20                   1
                2455             21             21                   1
                2460             26             21                   1
                2472             38             21                   1
                2490             56             21                   1
                2497             63             21                   1
                2534            100             21                   1
                2540            106             21                   1
                2546            112             21                   1
                2555            121             21                   1
                2569              7             22                   1
                2604             42             22                   1
                2617             55             22                   1
                2627             65             22                   1
                2642             80             22                   1
                2662            100             22                   1
                2664            102             22                   1
                2683            121             22                   1
                2736             46             23                   1
                2742             52             23                   1
                2781             91             23                   1
                2783             93             23                   1
                2784             94             23                   1
                2822              4             24                   1
                2828             10             24                   1
