               Sayac              X              Y               Deger
                 147             17              5                   1
                 246            116              5                   1
                 291             33              6                   1
                 406             20              7                   1
                 540             26              8                   1
                 552             38              8                   1
                 821             51             10                   1
                 840             70             10                   1
                 852             82             10                   1
                 946             48             11                   1
                 997             99             11                   1
                1015            117             11                   1
                1050             24             12                   1
                1137            111             12                   1
                1173             19             13                   1
                1182             28             13                   1
                1233             79             13                   1
                1285              3             14                   1
                1361             79             14                   1
                1392            110             14                   1
                1402            120             14                   1
                1413              3             15                   1
                1437             27             15                   1
                1450             40             15                   1
                1459             49             15                   1
                1495             85             15                   1
                1507             97             15                   1
                1544              6             16                   1
                1558             20             16                   1
                1561             23             16                   1
                1587             49             16                   1
                1614             76             16                   1
                1623             85             16                   1
                1646            108             16                   1
                1656            118             16                   1
                1659            121             16                   1
                1683             17             17                   1
                1686             20             17                   1
                1713             47             17                   1
                1720             54             17                   1
                1736             70             17                   1
                1751             85             17                   1
                1760             94             17                   1
                1772            106             17                   1
                1779            113             17                   1
                1909            115             18                   1
                1924              2             19                   1
                1933             11             19                   1
                1954             32             19                   1
                1963             41             19                   1
                1968             46             19                   1
                1970             48             19                   1
                1982             60             19                   1
                2000             78             19                   1
                2013             91             19                   1
                2028            106             19                   1
                2071             21             20                   1
                2076             26             20                   1
                2112             62             20                   1
                2116             66             20                   1
                2124             74             20                   1
                2127             77             20                   1
                2129             79             20                   1
                2157            107             20                   1
                2199             21             21                   1
                2216             38             21                   1
                2234             56             21                   1
                2241             63             21                   1
                2278            100             21                   1
                2284            106             21                   1
                2313              7             22                   1
                2348             42             22                   1
                2361             55             22                   1
                2371             65             22                   1
                2386             80             22                   1
                2406            100             22                   1
                2408            102             22                   1
                2427            121             22                   1
                2480             46             23                   1
                2486             52             23                   1
                2525             91             23                   1
                2528             94             23                   1
                2566              4             24                   1
                2572             10             24                   1
                2576             14             24                   1
                2583             21             24                   1
                2586             24             24                   1
                2595             33             24                   1
                2608             46             24                   1
                2614             52             24                   1
                2623             61             24                   1
                2646             84             24                   1
                2653             91             24                   1
                2674            112             24                   1
                2696              6             25                   1
                2707             17             25                   1
                2711             21             25                   1
                2728             38             25                   1
                2767             77             25                   1
                2771             81             25                   1
                2788             98             25                   1
                2794            104             25                   1
                2828             10             26                   1
                2852             34             26                   1
                2861             43             26                   1
                2862             44             26                   1
                2864             46             26                   1
                2888             70             26                   1
                2892             74             26                   1
                2904             86             26                   1
                2916             98             26                   1
                2922            104             26                   1
                2945            127             26                   1
                2974             28             27                   1
                2983             37             27                   1
                2990             44             27                   1
                2995             49             27                   1
                3015             69             27                   1
                3023             77             27                   1
                3050            104             27                   1
                3075              1             28                   1
                3091             17             28                   1
                3102             28             28                   1
                3124             50             28                   1
                3133             59             28                   1
                3148             74             28                   1
                3149             75             28                   1
                3150             76             28                   1
                3170             96             28                   1
                3176            102             28                   1
                3178            104             28                   1
                3181            107             28                   1
                3185            111             28                   1
                3189            115             28                   1
                3233             31             29                   1
                3235             33             29                   1
                3255             53             29                   1
                3260             58             29                   1
                3301             99             29                   1
                3303            101             29                   1
                3314            112             29                   1
                3321            119             29                   1
                3326            124             29                   1
                3332              2             30                   1
                3341             11             30                   1
                3351             21             30                   1
                3366             36             30                   1
                3377             47             30                   1
                3406             76             30                   1
                3408             78             30                   1
                3413             83             30                   1
                3421             91             30                   1
                3428             98             30                   1
                3460              2             31                   1
                3480             22             31                   1
                3522             64             31                   1
                3534             76             31                   1
                3545             87             31                   1
                3547             89             31                   1
                3552             94             31                   1
                3554             96             31                   1
