               Sayac              X              Y               Deger
                 412             26              8                   1
                 424             38              8                   1
                 693             51             10                   1
                 724             82             10                   1
                 818             48             11                   1
                 869             99             11                   1
                 887            117             11                   1
                 922             24             12                   1
                1009            111             12                   1
                1045             19             13                   1
                1054             28             13                   1
                1105             79             13                   1
                1157              3             14                   1
                1233             79             14                   1
                1264            110             14                   1
                1274            120             14                   1
                1285              3             15                   1
                1309             27             15                   1
                1322             40             15                   1
                1367             85             15                   1
                1379             97             15                   1
                1416              6             16                   1
                1430             20             16                   1
                1433             23             16                   1
                1459             49             16                   1
                1486             76             16                   1
                1495             85             16                   1
                1518            108             16                   1
                1528            118             16                   1
                1531            121             16                   1
                1555             17             17                   1
                1558             20             17                   1
                1585             47             17                   1
                1592             54             17                   1
                1608             70             17                   1
                1623             85             17                   1
                1632             94             17                   1
                1644            106             17                   1
                1651            113             17                   1
                1781            115             18                   1
                1796              2             19                   1
                1805             11             19                   1
                1826             32             19                   1
                1835             41             19                   1
                1840             46             19                   1
                1842             48             19                   1
                1854             60             19                   1
                1872             78             19                   1
                1885             91             19                   1
                1900            106             19                   1
                1943             21             20                   1
                1948             26             20                   1
                1984             62             20                   1
                1988             66             20                   1
                1996             74             20                   1
                1999             77             20                   1
                2001             79             20                   1
                2029            107             20                   1
                2071             21             21                   1
                2088             38             21                   1
                2106             56             21                   1
                2113             63             21                   1
                2150            100             21                   1
                2169            119             21                   1
                2185              7             22                   1
                2220             42             22                   1
                2243             65             22                   1
                2258             80             22                   1
                2278            100             22                   1
                2280            102             22                   1
                2299            121             22                   1
                2318             12             23                   1
                2352             46             23                   1
                2397             91             23                   1
                2400             94             23                   1
                2438              4             24                   1
                2448             14             24                   1
                2455             21             24                   1
                2458             24             24                   1
                2467             33             24                   1
                2480             46             24                   1
                2486             52             24                   1
                2495             61             24                   1
                2518             84             24                   1
                2525             91             24                   1
                2546            112             24                   1
                2568              6             25                   1
                2579             17             25                   1
                2583             21             25                   1
                2600             38             25                   1
                2639             77             25                   1
                2643             81             25                   1
                2660             98             25                   1
                2666            104             25                   1
                2700             10             26                   1
                2724             34             26                   1
                2733             43             26                   1
                2734             44             26                   1
                2736             46             26                   1
                2760             70             26                   1
                2764             74             26                   1
                2776             86             26                   1
                2788             98             26                   1
                2794            104             26                   1
                2817            127             26                   1
                2846             28             27                   1
                2855             37             27                   1
                2862             44             27                   1
                2867             49             27                   1
                2887             69             27                   1
                2895             77             27                   1
                2922            104             27                   1
                2947              1             28                   1
                2963             17             28                   1
                2974             28             28                   1
                2996             50             28                   1
                3005             59             28                   1
                3020             74             28                   1
                3021             75             28                   1
                3022             76             28                   1
                3042             96             28                   1
                3048            102             28                   1
                3050            104             28                   1
                3053            107             28                   1
                3057            111             28                   1
                3061            115             28                   1
                3105             31             29                   1
                3107             33             29                   1
                3127             53             29                   1
                3132             58             29                   1
                3173             99             29                   1
                3175            101             29                   1
                3186            112             29                   1
                3198            124             29                   1
                3204              2             30                   1
                3213             11             30                   1
                3223             21             30                   1
                3238             36             30                   1
                3249             47             30                   1
                3278             76             30                   1
                3280             78             30                   1
                3285             83             30                   1
                3293             91             30                   1
                3300             98             30                   1
                3332              2             31                   1
                3352             22             31                   1
                3394             64             31                   1
                3406             76             31                   1
                3417             87             31                   1
                3419             89             31                   1
                3424             94             31                   1
                3426             96             31                   1
                3439            109             31                   1
                3445            115             31                   1
                3447            117             31                   1
                3449            119             31                   1
                3458              0             32                   1
                3465              7             32                   1
                3466              8             32                   1
                3480             22             32                   1
                3492             34             32                   1
                3505             47             32                   1
                3542             84             32                   1
                3554             96             32                   1
                3555             97             32                   1
                3563            105             32                   1
                3567            109             32                   1
                3576            118             32                   1
                3583            125             32                   1
                3584            126             32                   1
                3614             28             33                   1
                3619             33             33                   1
                3641             55             33                   1
                3659             73             33                   1
                3660             74             33                   1
                3663             77             33                   1
                3668             82             33                   1
                3701            115             33                   1
                3709            123             33                   1
                3762             48             34                   1
                3774             60             34                   1
                3806             92             34                   1
                3818            104             34                   1
                3834            120             34                   1
                3851              9             35                   1
                3856             14             35                   1
                3884             42             35                   1
                3896             54             35                   1
                3909             67             35                   1
                3944            102             35                   1
                3947            105             35                   1
                3953            111             35                   1
                3963            121             35                   1
                3973              3             36                   1
                3979              9             36                   1
                4009             39             36                   1
                4015             45             36                   1
                4019             49             36                   1
                4021             51             36                   1
                4043             73             36                   1
                4050             80             36                   1
                4058             88             36                   1
                4061             91             36                   1
                4086            116             36                   1
                4089            119             36                   1
                4096            126             36                   1
                4099              1             37                   1
                4123             25             37                   1
                4135             37             37                   1
                4139             41             37                   1
                4163             65             37                   1
                4164             66             37                   1
                4188             90             37                   1
                4213            115             37                   1
                4215            117             37                   1
                4216            118             37                   1
                4217            119             37                   1
                4222            124             37                   1
                4225            127             37                   1
                4226              0             38                   1
                4230              4             38                   1
                4234              8             38                   1
                4240             14             38                   1
                4241             15             38                   1
                4263             37             38                   1
                4265             39             38                   1
                4270             44             38                   1
                4274             48             38                   1
                4291             65             38                   1
                4292             66             38                   1
                4296             70             38                   1
                4310             84             38                   1
                4329            103             38                   1
                4332            106             38                   1
                4336            110             38                   1
                4347            121             38                   1
                4371             17             39                   1
                4383             29             39                   1
                4387             33             39                   1
                4399             45             39                   1
                4410             56             39                   1
                4428             74             39                   1
                4451             97             39                   1
                4464            110             39                   1
                4479            125             39                   1
                4503             21             40                   1
                4518             36             40                   1
                4531             49             40                   1
                4536             54             40                   1
                4540             58             40                   1
                4546             64             40                   1
                4553             71             40                   1
                4557             75             40                   1
                4561             79             40                   1
                4562             80             40                   1
                4568             86             40                   1
                4592            110             40                   1
                4596            114             40                   1
                4598            116             40                   1
                4603            121             40                   1
                4621             11             41                   1
                4622             12             41                   1
                4626             16             41                   1
                4636             26             41                   1
                4637             27             41                   1
                4658             48             41                   1
                4666             56             41                   1
                4667             57             41                   1
                4673             63             41                   1
                4678             68             41                   1
                4683             73             41                   1
                4685             75             41                   1
                4711            101             41                   1
                4735            125             41                   1
                4739              1             42                   1
                4743              5             42                   1
                4745              7             42                   1
                4762             24             42                   1
                4764             26             42                   1
                4766             28             42                   1
                4794             56             42                   1
                4798             60             42                   1
                4805             67             42                   1
                4827             89             42                   1
                4847            109             42                   1
                4852            114             42                   1
                4881             15             43                   1
                4882             16             43                   1
                4883             17             43                   1
                4884             18             43                   1
                4889             23             43                   1
                4891             25             43                   1
                4892             26             43                   1
                4896             30             43                   1
                4899             33             43                   1
                4903             37             43                   1
                4908             42             43                   1
                4917             51             43                   1
                4928             62             43                   1
                4935             69             43                   1
                4945             79             43                   1
                4946             80             43                   1
                4950             84             43                   1
                4955             89             43                   1
                4956             90             43                   1
                4961             95             43                   1
                4975            109             43                   1
                4978            112             43                   1
