               Sayac              X              Y               Deger
                 269             11              2                   1
                 419             33              3                   1
                 548             34              4                   1
                 659             17              5                   1
                 677             35              5                   1
                 714             72              5                   1
                 758            116              5                   1
                 768            126              5                   1
                 790             20              6                   1
                 793             23              6                   1
                 803             33              6                   1
                 835             65              6                   1
                 872            102              6                   1
                 904              6              7                   1
                 918             20              7                   1
                 931             33              7                   1
                 939             41              7                   1
                1052             26              8                   1
                1064             38              8                   1
                1094             68              8                   1
                1139            113              8                   1
                1163              9              9                   1
                1171             17              9                   1
                1174             20              9                   1
                1175             21              9                   1
                1223             69              9                   1
                1253             99              9                   1
                1264            110              9                   1
                1284              2             10                   1
                1333             51             10                   1
                1352             70             10                   1
                1359             77             10                   1
                1364             82             10                   1
                1404            122             10                   1
                1407            125             10                   1
                1435             25             11                   1
                1458             48             11                   1
                1479             69             11                   1
                1509             99             11                   1
                1527            117             11                   1
                1562             24             12                   1
                1649            111             12                   1
                1685             19             13                   1
                1694             28             13                   1
                1705             39             13                   1
                1722             56             13                   1
                1745             79             13                   1
                1797              3             14                   1
                1833             39             14                   1
                1873             79             14                   1
                1904            110             14                   1
                1906            112             14                   1
                1914            120             14                   1
                1925              3             15                   1
                1949             27             15                   1
                1962             40             15                   1
                1971             49             15                   1
                2007             85             15                   1
                2016             94             15                   1
                2019             97             15                   1
                2043            121             15                   1
                2056              6             16                   1
                2070             20             16                   1
                2073             23             16                   1
                2099             49             16                   1
                2101             51             16                   1
                2126             76             16                   1
                2135             85             16                   1
                2158            108             16                   1
                2168            118             16                   1
                2171            121             16                   1
                2195             17             17                   1
                2198             20             17                   1
                2225             47             17                   1
                2232             54             17                   1
                2248             70             17                   1
                2263             85             17                   1
                2270             92             17                   1
                2272             94             17                   1
                2284            106             17                   1
                2291            113             17                   1
                2370             64             18                   1
                2421            115             18                   1
                2436              2             19                   1
                2440              6             19                   1
                2445             11             19                   1
                2466             32             19                   1
                2475             41             19                   1
                2480             46             19                   1
                2482             48             19                   1
                2494             60             19                   1
                2512             78             19                   1
                2525             91             19                   1
                2531             97             19                   1
                2540            106             19                   1
                2588             26             20                   1
                2624             62             20                   1
                2628             66             20                   1
                2636             74             20                   1
                2639             77             20                   1
                2640             78             20                   1
                2641             79             20                   1
                2669            107             20                   1
                2711             21             21                   1
                2716             26             21                   1
                2728             38             21                   1
                2746             56             21                   1
                2753             63             21                   1
                2790            100             21                   1
                2796            106             21                   1
                2802            112             21                   1
                2811            121             21                   1
                2825              7             22                   1
                2842             24             22                   1
                2860             42             22                   1
                2873             55             22                   1
                2883             65             22                   1
                2888             70             22                   1
                2898             80             22                   1
                2918            100             22                   1
                2920            102             22                   1
                2939            121             22                   1
                2985             39             23                   1
                2992             46             23                   1
                2998             52             23                   1
                3037             91             23                   1
                3039             93             23                   1
                3040             94             23                   1
                3078              4             24                   1
                3084             10             24                   1
                3088             14             24                   1
                3095             21             24                   1
                3098             24             24                   1
                3107             33             24                   1
                3120             46             24                   1
                3126             52             24                   1
                3135             61             24                   1
                3158             84             24                   1
                3165             91             24                   1
                3186            112             24                   1
                3208              6             25                   1
                3219             17             25                   1
                3220             18             25                   1
                3223             21             25                   1
                3240             38             25                   1
                3249             47             25                   1
                3257             55             25                   1
                3279             77             25                   1
                3283             81             25                   1
                3300             98             25                   1
                3306            104             25                   1
                3364             34             26                   1
                3373             43             26                   1
                3374             44             26                   1
                3376             46             26                   1
                3400             70             26                   1
                3404             74             26                   1
                3416             86             26                   1
                3428             98             26                   1
                3434            104             26                   1
                3448            118             26                   1
                3457            127             26                   1
                3471             13             27                   1
                3486             28             27                   1
                3495             37             27                   1
                3502             44             27                   1
                3507             49             27                   1
                3527             69             27                   1
                3535             77             27                   1
                3562            104             27                   1
                3587              1             28                   1
                3603             17             28                   1
                3614             28             28                   1
                3636             50             28                   1
                3645             59             28                   1
                3652             66             28                   1
                3660             74             28                   1
                3661             75             28                   1
                3662             76             28                   1
                3664             78             28                   1
                3682             96             28                   1
                3688            102             28                   1
                3690            104             28                   1
                3693            107             28                   1
                3697            111             28                   1
                3701            115             28                   1
                3745             31             29                   1
                3747             33             29                   1
                3767             53             29                   1
                3772             58             29                   1
                3783             69             29                   1
                3813             99             29                   1
                3815            101             29                   1
                3820            106             29                   1
                3826            112             29                   1
                3833            119             29                   1
                3838            124             29                   1
                3844              2             30                   1
                3846              4             30                   1
                3853             11             30                   1
                3859             17             30                   1
                3863             21             30                   1
                3878             36             30                   1
                3889             47             30                   1
                3918             76             30                   1
                3925             83             30                   1
                3933             91             30                   1
                3940             98             30                   1
                3972              2             31                   1
                3975              5             31                   1
                3992             22             31                   1
                4034             64             31                   1
                4046             76             31                   1
                4057             87             31                   1
                4059             89             31                   1
                4064             94             31                   1
                4066             96             31                   1
                4079            109             31                   1
                4080            110             31                   1
                4085            115             31                   1
                4087            117             31                   1
                4089            119             31                   1
                4098              0             32                   1
                4105              7             32                   1
                4106              8             32                   1
                4120             22             32                   1
                4132             34             32                   1
                4145             47             32                   1
                4182             84             32                   1
                4194             96             32                   1
                4195             97             32                   1
                4207            109             32                   1
                4210            112             32                   1
                4216            118             32                   1
                4223            125             32                   1
                4224            126             32                   1
                4239             13             33                   1
                4242             16             33                   1
                4254             28             33                   1
                4259             33             33                   1
                4281             55             33                   1
                4299             73             33                   1
                4300             74             33                   1
                4303             77             33                   1
                4305             79             33                   1
                4308             82             33                   1
                4341            115             33                   1
                4349            123             33                   1
                4384             30             34                   1
                4402             48             34                   1
                4405             51             34                   1
                4414             60             34                   1
                4434             80             34                   1
                4436             82             34                   1
                4439             85             34                   1
                4446             92             34                   1
                4458            104             34                   1
                4474            120             34                   1
                4491              9             35                   1
                4493             11             35                   1
                4496             14             35                   1
                4497             15             35                   1
                4524             42             35                   1
                4536             54             35                   1
                4549             67             35                   1
                4584            102             35                   1
                4587            105             35                   1
                4593            111             35                   1
                4603            121             35                   1
                4613              3             36                   1
                4619              9             36                   1
                4649             39             36                   1
                4655             45             36                   1
                4659             49             36                   1
                4661             51             36                   1
                4667             57             36                   1
                4683             73             36                   1
                4690             80             36                   1
                4698             88             36                   1
                4701             91             36                   1
                4724            114             36                   1
                4726            116             36                   1
                4729            119             36                   1
                4736            126             36                   1
                4739              1             37                   1
                4763             25             37                   1
                4779             41             37                   1
                4803             65             37                   1
                4804             66             37                   1
                4828             90             37                   1
                4853            115             37                   1
                4855            117             37                   1
                4856            118             37                   1
                4857            119             37                   1
                4862            124             37                   1
                4865            127             37                   1
                4866              0             38                   1
                4870              4             38                   1
                4874              8             38                   1
                4877             11             38                   1
                4880             14             38                   1
                4881             15             38                   1
                4891             25             38                   1
                4893             27             38                   1
                4903             37             38                   1
                4905             39             38                   1
                4910             44             38                   1
                4914             48             38                   1
                4931             65             38                   1
                4932             66             38                   1
                4936             70             38                   1
                4950             84             38                   1
                4969            103             38                   1
                4972            106             38                   1
                4976            110             38                   1
                4987            121             38                   1
