               Sayac              X              Y               Deger
                 181             51             10                   1
                 357             99             11                   1
                 375            117             11                   1
                 410             24             12                   1
                 497            111             12                   1
                 533             19             13                   1
                 773              3             15                   1
                 810             40             15                   1
                 855             85             15                   1
                 867             97             15                   1
                 904              6             16                   1
                 918             20             16                   1
                 983             85             16                   1
                1016            118             16                   1
                1046             20             17                   1
                1073             47             17                   1
                1096             70             17                   1
                1111             85             17                   1
                1120             94             17                   1
                1132            106             17                   1
                1269            115             18                   1
                1284              2             19                   1
                1293             11             19                   1
                1314             32             19                   1
                1323             41             19                   1
                1328             46             19                   1
                1330             48             19                   1
                1360             78             19                   1
                1373             91             19                   1
                1388            106             19                   1
                1431             21             20                   1
                1472             62             20                   1
                1476             66             20                   1
                1484             74             20                   1
                1487             77             20                   1
                1559             21             21                   1
                1576             38             21                   1
                1594             56             21                   1
                1638            100             21                   1
                1657            119             21                   1
                1708             42             22                   1
                1746             80             22                   1
                1766            100             22                   1
                1768            102             22                   1
                1787            121             22                   1
                1806             12             23                   1
                1840             46             23                   1
                1885             91             23                   1
                1888             94             23                   1
                1926              4             24                   1
                1943             21             24                   1
                1946             24             24                   1
                1955             33             24                   1
                1968             46             24                   1
                1974             52             24                   1
                1983             61             24                   1
                2006             84             24                   1
                2013             91             24                   1
                2034            112             24                   1
                2056              6             25                   1
                2071             21             25                   1
                2127             77             25                   1
                2131             81             25                   1
                2148             98             25                   1
                2154            104             25                   1
                2212             34             26                   1
                2221             43             26                   1
                2222             44             26                   1
                2224             46             26                   1
                2248             70             26                   1
                2264             86             26                   1
                2276             98             26                   1
                2282            104             26                   1
                2305            127             26                   1
                2355             49             27                   1
                2375             69             27                   1
                2383             77             27                   1
                2410            104             27                   1
                2435              1             28                   1
                2451             17             28                   1
                2462             28             28                   1
                2484             50             28                   1
                2493             59             28                   1
                2530             96             28                   1
                2536            102             28                   1
                2538            104             28                   1
                2541            107             28                   1
                2545            111             28                   1
                2549            115             28                   1
                2593             31             29                   1
                2595             33             29                   1
                2620             58             29                   1
                2661             99             29                   1
                2663            101             29                   1
                2674            112             29                   1
                2686            124             29                   1
                2692              2             30                   1
                2701             11             30                   1
                2711             21             30                   1
                2726             36             30                   1
                2766             76             30                   1
                2768             78             30                   1
                2773             83             30                   1
                2781             91             30                   1
                2788             98             30                   1
                2816            126             30                   1
                2820              2             31                   1
                2840             22             31                   1
                2905             87             31                   1
                2907             89             31                   1
                2912             94             31                   1
                2914             96             31                   1
                2927            109             31                   1
                2935            117             31                   1
                2937            119             31                   1
                2946              0             32                   1
                2953              7             32                   1
                2954              8             32                   1
                2968             22             32                   1
                2993             47             32                   1
                3030             84             32                   1
                3042             96             32                   1
                3043             97             32                   1
                3051            105             32                   1
                3055            109             32                   1
                3064            118             32                   1
                3071            125             32                   1
                3072            126             32                   1
                3102             28             33                   1
                3107             33             33                   1
                3129             55             33                   1
                3147             73             33                   1
                3148             74             33                   1
                3151             77             33                   1
                3156             82             33                   1
                3189            115             33                   1
                3197            123             33                   1
                3250             48             34                   1
                3294             92             34                   1
                3306            104             34                   1
                3322            120             34                   1
                3339              9             35                   1
                3372             42             35                   1
                3384             54             35                   1
                3397             67             35                   1
                3432            102             35                   1
                3435            105             35                   1
                3451            121             35                   1
                3461              3             36                   1
                3497             39             36                   1
                3503             45             36                   1
                3507             49             36                   1
                3531             73             36                   1
                3538             80             36                   1
                3546             88             36                   1
                3549             91             36                   1
                3577            119             36                   1
                3584            126             36                   1
                3587              1             37                   1
                3611             25             37                   1
                3627             41             37                   1
                3651             65             37                   1
                3652             66             37                   1
                3676             90             37                   1
                3701            115             37                   1
                3703            117             37                   1
                3704            118             37                   1
                3705            119             37                   1
                3710            124             37                   1
                3713            127             37                   1
                3714              0             38                   1
                3718              4             38                   1
                3722              8             38                   1
                3728             14             38                   1
                3729             15             38                   1
                3751             37             38                   1
                3753             39             38                   1
                3758             44             38                   1
                3762             48             38                   1
                3779             65             38                   1
                3780             66             38                   1
                3784             70             38                   1
                3798             84             38                   1
                3817            103             38                   1
                3820            106             38                   1
                3824            110             38                   1
                3835            121             38                   1
                3859             17             39                   1
                3871             29             39                   1
                3875             33             39                   1
                3898             56             39                   1
                3916             74             39                   1
                3939             97             39                   1
                3952            110             39                   1
                3991             21             40                   1
                4006             36             40                   1
                4024             54             40                   1
                4028             58             40                   1
                4034             64             40                   1
                4041             71             40                   1
                4045             75             40                   1
                4049             79             40                   1
                4050             80             40                   1
                4056             86             40                   1
                4080            110             40                   1
                4084            114             40                   1
                4086            116             40                   1
                4091            121             40                   1
                4109             11             41                   1
                4110             12             41                   1
                4114             16             41                   1
                4124             26             41                   1
                4125             27             41                   1
                4146             48             41                   1
                4154             56             41                   1
                4155             57             41                   1
                4161             63             41                   1
                4166             68             41                   1
                4171             73             41                   1
                4173             75             41                   1
                4199            101             41                   1
                4223            125             41                   1
                4231              5             42                   1
                4233              7             42                   1
                4250             24             42                   1
                4252             26             42                   1
                4254             28             42                   1
                4282             56             42                   1
                4286             60             42                   1
                4293             67             42                   1
                4315             89             42                   1
                4335            109             42                   1
                4340            114             42                   1
                4369             15             43                   1
                4370             16             43                   1
                4371             17             43                   1
                4372             18             43                   1
                4377             23             43                   1
                4379             25             43                   1
                4380             26             43                   1
                4384             30             43                   1
                4387             33             43                   1
                4391             37             43                   1
                4396             42             43                   1
                4405             51             43                   1
                4416             62             43                   1
                4423             69             43                   1
                4433             79             43                   1
                4434             80             43                   1
                4438             84             43                   1
                4443             89             43                   1
                4444             90             43                   1
                4449             95             43                   1
                4463            109             43                   1
                4466            112             43                   1
                4504             22             44                   1
                4514             32             44                   1
                4534             52             44                   1
                4538             56             44                   1
                4539             57             44                   1
                4543             61             44                   1
                4546             64             44                   1
                4557             75             44                   1
                4562             80             44                   1
                4572             90             44                   1
                4573             91             44                   1
                4578             96             44                   1
                4592            110             44                   1
                4611              1             45                   1
                4622             12             45                   1
                4637             27             45                   1
                4646             36             45                   1
                4650             40             45                   1
                4657             47             45                   1
                4666             56             45                   1
                4676             66             45                   1
                4683             73             45                   1
                4695             85             45                   1
                4707             97             45                   1
                4709             99             45                   1
                4722            112             45                   1
                4747              9             46                   1
                4766             28             46                   1
                4769             31             46                   1
                4770             32             46                   1
                4777             39             46                   1
                4793             55             46                   1
                4794             56             46                   1
                4804             66             46                   1
                4813             75             46                   1
                4818             80             46                   1
                4822             84             46                   1
                4825             87             46                   1
                4831             93             46                   1
                4838            100             46                   1
                4846            108             46                   1
                4862            124             46                   1
                4868              2             47                   1
                4877             11             47                   1
                4878             12             47                   1
                4883             17             47                   1
                4897             31             47                   1
                4899             33             47                   1
                4903             37             47                   1
                4914             48             47                   1
                4918             52             47                   1
                4925             59             47                   1
                4934             68             47                   1
                4936             70             47                   1
                4941             75             47                   1
                4944             78             47                   1
                4945             79             47                   1
                4952             86             47                   1
