               Sayac              X              Y               Deger
                 156             26              8                   1
                 437             51             10                   1
                 613             99             11                   1
                 631            117             11                   1
                 666             24             12                   1
                 753            111             12                   1
                 789             19             13                   1
                 849             79             13                   1
                 977             79             14                   1
                1008            110             14                   1
                1018            120             14                   1
                1029              3             15                   1
                1066             40             15                   1
                1111             85             15                   1
                1123             97             15                   1
                1160              6             16                   1
                1174             20             16                   1
                1177             23             16                   1
                1203             49             16                   1
                1239             85             16                   1
                1262            108             16                   1
                1272            118             16                   1
                1302             20             17                   1
                1329             47             17                   1
                1352             70             17                   1
                1367             85             17                   1
                1376             94             17                   1
                1388            106             17                   1
                1395            113             17                   1
                1525            115             18                   1
                1540              2             19                   1
                1549             11             19                   1
                1570             32             19                   1
                1579             41             19                   1
                1584             46             19                   1
                1586             48             19                   1
                1598             60             19                   1
                1616             78             19                   1
                1629             91             19                   1
                1644            106             19                   1
                1687             21             20                   1
                1728             62             20                   1
                1732             66             20                   1
                1740             74             20                   1
                1743             77             20                   1
                1815             21             21                   1
                1832             38             21                   1
                1850             56             21                   1
                1894            100             21                   1
                1913            119             21                   1
                1964             42             22                   1
                2002             80             22                   1
                2022            100             22                   1
                2024            102             22                   1
                2043            121             22                   1
                2062             12             23                   1
                2096             46             23                   1
                2141             91             23                   1
                2144             94             23                   1
                2182              4             24                   1
                2192             14             24                   1
                2199             21             24                   1
                2202             24             24                   1
                2211             33             24                   1
                2224             46             24                   1
                2230             52             24                   1
                2239             61             24                   1
                2262             84             24                   1
                2269             91             24                   1
                2290            112             24                   1
                2312              6             25                   1
                2323             17             25                   1
                2327             21             25                   1
                2344             38             25                   1
                2383             77             25                   1
                2387             81             25                   1
                2404             98             25                   1
                2410            104             25                   1
                2468             34             26                   1
                2477             43             26                   1
                2478             44             26                   1
                2480             46             26                   1
                2504             70             26                   1
                2508             74             26                   1
                2520             86             26                   1
                2532             98             26                   1
                2538            104             26                   1
                2561            127             26                   1
                2611             49             27                   1
                2631             69             27                   1
                2639             77             27                   1
                2666            104             27                   1
                2691              1             28                   1
                2707             17             28                   1
                2718             28             28                   1
                2740             50             28                   1
                2749             59             28                   1
                2786             96             28                   1
                2792            102             28                   1
                2794            104             28                   1
                2797            107             28                   1
                2801            111             28                   1
                2805            115             28                   1
                2849             31             29                   1
                2851             33             29                   1
                2876             58             29                   1
                2917             99             29                   1
                2919            101             29                   1
                2930            112             29                   1
                2942            124             29                   1
                2948              2             30                   1
                2957             11             30                   1
                2967             21             30                   1
                2982             36             30                   1
                3022             76             30                   1
                3024             78             30                   1
                3029             83             30                   1
                3037             91             30                   1
                3044             98             30                   1
                3076              2             31                   1
                3096             22             31                   1
                3138             64             31                   1
                3150             76             31                   1
                3161             87             31                   1
                3163             89             31                   1
                3168             94             31                   1
                3170             96             31                   1
                3183            109             31                   1
                3189            115             31                   1
                3191            117             31                   1
                3193            119             31                   1
                3202              0             32                   1
                3209              7             32                   1
                3210              8             32                   1
                3224             22             32                   1
                3236             34             32                   1
                3249             47             32                   1
                3286             84             32                   1
                3298             96             32                   1
                3299             97             32                   1
                3307            105             32                   1
                3311            109             32                   1
                3320            118             32                   1
                3327            125             32                   1
                3328            126             32                   1
                3358             28             33                   1
                3363             33             33                   1
                3385             55             33                   1
                3403             73             33                   1
